受注No,受注日,得意先,得意先注文No,製品名１,製品名２,受注数量,単位,台数,受注金額,納期,納期返事,版区,入日,工程１－工程名,工程１－号機名,工程１－完了日,工程１－完了数,工程２－工程名,工程２－号機名,工程２－完了日,工程２－完了数,工程３－工程名,工程３－号機名,工程３－完了日,工程３－完了数,工程４－工程名,工程４－号機名,工程４－完了日,工程４－完了数,工程５－工程名,工程５－号機名,工程５－完了日,工程５－完了数,工程６－工程名,工程６－号機名,工程６－完了日,工程６－完了数,工程７－工程名,工程７－号機名,工程７－完了日,工程７－完了数,工程８－工程名,工程８－号機名,工程８－完了日,工程８－完了数,工程９－工程名,工程９－号機名,工程９－完了日,工程９－完了数,工程１０－工程名,工程１０－号機名,工程１０－完了日,工程１０－完了数,最終納品日,最終伝票No,納品金額,状態１,状態２
0000326074-000,2026/05/14,浜松メディア,ORD-34267,不織布 ロール 100μ 透明,,83555,枚,  0,300845,2026/07/13,2026/07/17,旧版,,印刷,1-Ｆ号機,2026/07/09 確,0,サイド,２２号機,2026/07/13 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326075-000,2026/05/14,浜松メディア,ORD-38361,NY チューブ 100μ クリア,,48000,枚,  0,73464,2026/05/22,2026/05/29,無地,,カット大谷,大谷ｶｯﾄ,2026/05/28 完,48000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/29,348057,46241,,
0000326076-000,2026/05/14,新潟加工(有),ORD-87278,透明 カップ 300μ 黒,,19860,枚,  0,897135,2026/06/12,2026/06/12,改版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/05/27 完,3600,ラミネート,Ｌ2号機,2026/06/05 完,3460,スリッター,５号機,2026/06/10 完,3440,その他製袋,はつかいち,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326077-000,2026/05/14,東京プリント㈱,ORD-78765,OPP 袋 100μ 青,,41500,枚,  0,725780,2026/07/01,2026/07/09,新版,2026/06/03,印刷,2号機,2026/06/16 完,1960,ラミネート,Ｌ１号,2026/06/25 確,0,スリッター,６号機,2026/07/03 確,0,サイド,１５号機,2026/07/06 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326078-000,2026/05/15,姫路加工(有),ORD-47093,PET パウチ 300μ 銀,,20000,枚,  0,205409,2026/06/22,2026/07/16,旧版,,印刷,4号機,2026/06/04 完,2500,ラミネート,Ｌ１号,2026/06/15 完,2500,スリッター,６号機,2026/07/07 確,0,サイド,１２号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326079-000,2026/05/15,浜松パッケージ,ORD-35443,NY チューブ 100μ クリア,,11040,ｍ,  0,410636,2026/06/17,2026/06/19,旧版,,印刷,5号機,2026/06/10 完,3950,スリッター,２号機,2026/06/18 完,3960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/19,348877,338533,,
0000326080-000,2026/05/15,浜松パッケージ,ORD-57301,PE フィルム 300μ 透明,,7200,ｍ,  0,288158,2026/06/17,2026/06/17,旧版,,印刷,5号機,2026/06/10 完,3920,スリッター,３号機,2026/06/11 完,3860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/17,348781,416950,,
0000326081-000,2026/05/15,広島サプライ(株),ORD-11854,CPP シート 100μ 黒,,3680,ｍ,  0,80010,2026/06/12,2026/06/12,旧版,,印刷,5号機,2026/06/01 完,3950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/15,348624,26591,,
0000326082-000,2026/05/15,広島サプライ(株),ORD-45954,EVOH テープ 300μ 青,,3840,ｍ,  0,15965,2026/06/12,2026/06/12,旧版,,印刷,5号機,2026/06/01 完,3940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/15,348624,17146,,
0000326083-000,2026/05/15,広島サプライ(株),ORD-82529,AL トレー 100μ 銀,,3840,ｍ,  0,48290,2026/06/12,2026/06/12,旧版,,印刷,5号機,2026/06/01 完,3920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/15,348624,26551,,
0000326084-000,2026/05/15,長崎メディア,,紙 ラベル 300μ クリア,,10000,枚,  0,93606,2026/08/06,2026/08/05,新版,2026/05/25,印刷,2-Ｆ号機,2026/08/01 確,0,サイド,５号機,2026/08/04 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326085-000,2026/05/15,岡山フィルム㈲,ORD-74340,不織布 ロール 100μ 透明,,24500,枚,  0,207570,2026/07/09,2026/07/09,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/06/29 確,0,ラミネート,Ｌ2号機,2026/07/03 確,0,スリッター,６号機,2026/07/06 確,0,サイド,１２号機,2026/07/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326086-000,2026/05/15,横浜デザイン(有),ORD-11607,透明 カップ 300μ 黒,,15000,枚,  0,85243,2026/06/24,2026/06/24,無地,,スリッター,５号機,2026/06/10 完,2000,サイド,３号機,2026/06/16 完,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326087-000,2026/05/15,姫路加工(有),ORD-47268,OPP 袋 100μ 青,,45000,枚,  0,71524,2026/07/07,2026/07/22,,,サイド,５号機,2026/07/16 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326088-000,2026/05/15,広島テック(株),ORD-72746,PET パウチ 300μ 銀,,10000,枚,  0,67733,2026/05/29,2026/07/10,無地,,サイド,６号機,2026/07/06 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326089-000,2026/05/15,長崎メディア,,NY チューブ 100μ クリア,,53142,枚,  0,457256,2026/06/29,2026/07/17,無地,,ラミネート,Ｌ１号,2026/06/24 確,0,巻き直し,社内検品機１,2026/06/24 確,0,スリッター,４号機,2026/07/06 確,0,サイド,４号機,2026/07/09 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326090-000,2026/05/15,川崎商事(株),ORD-34164,PE フィルム 300μ 透明,,10500,枚,  0,16734,2026/06/04,2026/06/22,無地,,ラミネート,宮内紙工,2026/06/05 完,3950,スリッター,６号機,2026/06/09 完,3890,合掌,西岡製袋（合,2026/06/16 完,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326091-000,2026/05/15,札幌クリエイト㈱,ORD-43092,CPP シート 100μ 黒,,19862,枚,  0,600935,2026/06/15,,無地,,普通製袋,製袋２その他,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326092-000,2026/05/15,札幌製作所㈱,,EVOH テープ 300μ 青,,300,ｍ,  0,24953,2026/05/26,2026/05/26,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,2026/05/19 完,440,印刷,2-Ｆ号機,2026/05/21 完,420,検品機,社内検品機３,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/26,347979,18564,,
0000326093-000,2026/05/15,札幌クリエイト㈱,ORD-62521,AL トレー 100μ 銀,,40714,枚,  0,615633,2026/06/30,,旧版,,印刷,山一包材,           未,0,ガゼット,製袋３その他,           未,0,普通製袋,製袋３その他,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326094-000,2026/05/15,仙台ラベル㈲,,紙 ラベル 300μ クリア,,5,ｍ,  0,19710,2026/05/20,2026/05/20,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,2026/05/19 完,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/20,347800,85631,,
0000326095-000,2026/05/15,川崎サプライ(株),ORD-92502,不織布 ロール 100μ 透明,,18095,枚,  0,819796,2026/06/15,2026/07/02,旧版,,印刷,1-Ｆ号機,2026/06/15 完,3890,サイド,５号機,2026/06/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326096-000,2026/05/15,岡山印刷㈲,ORD-17026,透明 カップ 300μ 黒,,30442,枚,  0,259097,2026/07/15,2026/07/21,旧版,,印刷,1号機,2026/06/18 完,3850,ラミネート,Ｌ１号,2026/07/07 確,0,スリッター,６号機,2026/07/08 確,0,サイド,１７号機,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326097-000,2026/05/15,岡山印刷㈲,ORD-29555,OPP 袋 100μ 青,,32222,枚,  0,950544,2026/07/15,2026/07/21,旧版,,印刷,2号機,2026/07/03 確,0,ラミネート,Ｌ１号,2026/07/07 確,0,スリッター,４号機,2026/07/15 確,0,サイド,１７号機,2026/07/16 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326098-000,2026/05/15,岡山印刷㈲,ORD-83772,PET パウチ 300μ 銀,,33461,枚,  0,418594,2026/07/15,2026/07/21,旧版,2026/05/25,印刷,2号機,2026/07/03 確,0,ラミネート,Ｌ１号,2026/07/07 確,0,スリッター,４号機,2026/07/09 確,0,サイド,１７号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326099-000,2026/05/15,千葉フィルム㈲,ORD-21164,NY チューブ 100μ クリア,,20300,枚,  0,360247,2026/06/16,2026/07/16,旧版,,印刷,1号機,2026/07/03 確,0,ラミネート,Ｌ１号,2026/07/09 確,0,スリッター,６号機,2026/07/13 確,0,サイド,１５号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326100-000,2026/05/15,浜松パッケージ,ORD-25525,PE フィルム 300μ 透明,,22250,枚,  0,685181,2026/06/03,2026/06/03,旧版,,印刷,1-Ｆ号機,2026/05/25 完,3780,ラミネート,Ｌ2号機,2026/05/26 完,3630,スリッター,６号機,2026/05/27 完,3580,サイド,２１号機,2026/05/28 完,18500,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/03,348318,901577,,
0000326101-000,2026/05/15,広島サプライ(株),ORD-64548,CPP シート 100μ 黒,,23040,ｍ,  0,735770,2026/06/05,2026/06/11,旧版,,印刷,山一包材,2026/06/05 完,7900,スリッター,３号機,2026/06/09 完,7580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/11,348595,725084,,
0000326102-000,2026/05/19,神戸工業(有),ORD-91057,EVOH テープ 300μ 青,,31228,枚,  0,336650,2026/06/11,2026/06/11,旧版,,印刷,4号機,2026/06/01 完,3940,スリッター,６号機,2026/06/02 完,3650,サイド,１３号機,2026/06/05 完,28300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/11,348596,913373,,
0000326103-000,2026/05/15,浜松パッケージ,ORD-78494,AL トレー 100μ 銀,,19076,枚,  0,59856,2026/06/30,2026/07/10,旧版,,印刷,1-Ｆ号機,2026/07/03 確,0,サイド,６号機,2026/07/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326104-000,2026/05/15,浜松パッケージ,ORD-69049,紙 ラベル 300μ クリア,,45333,枚,  0,564226,2026/07/10,2026/07/17,旧版,,印刷,5-Ｆ号機,2026/06/29 確,0,ラミネート,Ｌ2号機,2026/06/30 確,0,スリッター,５号機,2026/07/09 確,0,サイド,１７号機,2026/07/14 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326105-000,2026/05/15,千葉ラベル㈲,ORD-48974,不織布 ロール 100μ 透明,,28666,枚,  0,717113,2026/06/29,2026/07/03,旧版,,印刷,3号機,2026/06/26 確,0,ラミネート,Ｌ2号機,2026/06/29 確,0,スリッター,４号機,2026/06/30 確,0,サイド,２０号機,2026/07/01 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326106-000,2026/05/15,浜松パッケージ,ORD-66207,透明 カップ 300μ 黒,,8571,枚,  0,50026,2026/06/30,2026/07/01,旧版,,印刷,5-Ｆ号機,2026/06/17 完,1760,サイド,２２号機,2026/06/26 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326107-000,2026/05/15,横浜デザイン(有),ORD-84531,OPP 袋 100μ 青,,45600,ｍ,  0,751194,2026/07/21,2026/07/21,旧版,,印刷,5-Ｆ号機,2026/06/26 確,0,ラミネート,Ｌ2号機,2026/07/15 確,0,スリッター,２号機,2026/07/16 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326108-000,2026/05/15,相模サプライ(株),ORD-17894,PET パウチ 300μ 銀,,1760,ｍ,  0,739244,2026/06/25,2026/06/24,改版,2026/06/01,印刷,1号機,2026/06/16 完,1670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326109-000,2026/05/15,福岡パッケージ,ORD-23006,NY チューブ 100μ クリア,,11400,ｍ,  0,899787,2026/06/18,2026/06/23,新版,2026/06/10,印刷,3号機,2026/06/11 完,3920,スリッター,３号機,2026/06/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326110-000,2026/05/15,横浜デザイン(有),ORD-37235,PE フィルム 300μ 透明,,15040,枚,  0,91987,2026/07/01,2026/06/16,無地,,合掌,はつかいち,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326111-000,2026/05/15,名古屋商事(株),ORD-37659,CPP シート 100μ 黒,,3680,ｍ,  0,44687,2026/06/05,2026/06/30,旧版,,印刷,1号機,2026/06/02 完,3840,ラミネート,Ｌ１号,2026/06/26 確,0,巻き直し,社内検品機２,2026/06/26 確,0,スリッター,６号機,2026/06/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326112-000,2026/05/15,福岡パッケージ,ORD-96563,EVOH テープ 300μ 青,,11400,ｍ,  0,185131,2026/06/18,2026/06/23,新版,2026/06/10,印刷,3号機,2026/06/11 完,3850,スリッター,３号機,2026/06/22 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326113-000,2026/05/15,相模サプライ(株),ORD-30585,AL トレー 100μ 銀,,1860,ｍ,  0,41439,2026/06/25,2026/06/24,改版,2026/06/01,印刷,1号機,2026/06/16 完,1770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326114-000,2026/05/15,長崎産業,ORD-32782,紙 ラベル 300μ クリア,,21500,枚,  0,82350,2026/07/03,2026/07/17,旧版,,印刷,2-Ｆ号機,2026/07/08 確,0,ラミネート,Ｌ１号,2026/07/09 確,0,スリッター,６号機,2026/07/14 確,0,サイド,６号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326115-000,2026/05/15,大阪ラベル㈲,ORD-19838,不織布 ロール 100μ 透明,,10400,枚,  0,264136,2026/06/29,2026/07/06,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/06/18 完,1500,ラミネート,Ｌ2号機,2026/06/19 確,0,ラミ２回目,Ｌ2号機,2026/06/19 確,0,巻き直し,社内検品機１,2026/06/19 確,0,スリッター,５号機,2026/06/24 確,0,三方,１６号機,2026/07/01 確,0,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326116-000,2026/05/15,相模商事(株),ORD-10350,透明 カップ 300μ 黒,,10000,枚,  0,63545,2026/06/25,,,,作業無,,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326117-000,2026/05/15,相模商事(株),ORD-69048,OPP 袋 100μ 青,,7780,ｍ,  0,87832,2026/06/02,2026/06/02,,,検品機,社内検品機２,2026/05/28 完,7580,巻き直し,社内検品機２,2026/05/28 完,7540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/03,348312,71592,,
0000326118-000,2026/05/18,熊本クリエイト㈱,ORD-48175,PET パウチ 300μ 銀,,8355,枚,  0,14278,2026/07/10,2026/07/14,旧版,,印刷,4号機,2026/07/08 確,0,サイド,６号機,2026/07/09 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326119-000,2026/05/18,熊本クリエイト㈱,ORD-40340,NY チューブ 100μ クリア,,8355,枚,  0,47762,2026/07/10,2026/07/14,旧版,,印刷,4号機,2026/07/08 確,0,サイド,６号機,2026/07/09 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326120-000,2026/05/18,岡山フィルム㈲,ORD-47056,PE フィルム 300μ 透明,,11000,枚,  0,69510,2026/06/29,2026/06/30,新版,2026/05/26,印刷,2号機,2026/06/16 完,1360,ラミネート,Ｌ１号,2026/06/19 確,0,スリッター,６号機,2026/06/23 確,0,サイド,１４号機,2026/06/25 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326121-000,2026/05/18,横浜デザイン(有),ORD-19329,CPP シート 100μ 黒,,1880,ｍ,  0,40595,2026/06/04,2026/06/09,旧版,,印刷,1号機,2026/06/05 完,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/09,348484,44675,,
0000326122-000,2026/05/18,大阪印刷㈲,ORD-91927,EVOH テープ 300μ 青,,61000,枚,  0,718439,2026/06/09,2026/06/12,旧版,,印刷,5号機,2026/05/29 完,5880,スリッター,３号機,2026/06/03 完,5820,サイド,２号機,2026/06/09 完,61000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/06/15,348677,793300,,
0000326123-000,2026/05/18,長崎メディア,,AL トレー 100μ 銀,,20000,枚,  0,942956,2026/08/03,2026/08/03,新版,2026/05/26,印刷,1-Ｆ号機,2026/07/21 確,0,スリッター,４号機,2026/07/24 確,0,サイド,２１号機,2026/07/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326124-000,2026/05/18,神戸工業(有),ORD-35928,紙 ラベル 300μ クリア,,7760,ｍ,  0,545790,2026/07/01,2026/07/09,旧版,,印刷,1-Ｆ号機,2026/07/07 確,0,スリッター,４号機,2026/07/08 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326125-000,2026/05/18,姫路加工(有),ORD-25043,不織布 ロール 100μ 透明,,111600,枚,  0,671015,2026/06/26,2026/07/22,旧版,,印刷,1号機,2026/07/07 確,0,サイド,２２号機,2026/07/15 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326126-000,2026/05/18,姫路加工(有),ORD-39466,透明 カップ 300μ 黒,,111600,枚,  0,779094,2026/06/26,2026/07/24,旧版,,印刷,1号機,2026/07/07 確,0,サイド,２２号機,2026/07/17 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326127-000,2026/05/18,姫路工業(有),ORD-29528,OPP 袋 100μ 青,,121000,枚,  0,378535,2026/07/03,2026/07/22,無地,,サイド,２号機,2026/07/16 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326128-000,2026/05/18,埼玉製作所㈱,,PET パウチ 300μ 銀,,3255,ｍ,  0,966785,2026/05/22,2026/05/21,新版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ1号,2026/05/20 完,3513,印刷,2-Ｆ号機,2026/05/21 完,3470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/05/22,347799,249145,,
0000326129-000,2026/05/18,広島サプライ(株),ORD-19359,NY チューブ 100μ クリア,,20000,枚,  0,162535,2026/06/26,2026/07/10,旧版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/06/09 完,1300,ラミネート,Ｌ2号機,2026/06/12 完,1240,スリッター,６号機,2026/07/03 確,0,サイド,１５号機,2026/07/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326130-000,2026/05/18,広島サプライ(株),ORD-31747,NY チューブ 100μ クリア,,20000,枚,  0,931131,2026/07/29,2026/07/30,旧版,,ﾃﾞｼﾞﾀﾙ印刷,ｲﾝﾃﾞｨｺﾞ2号,2026/07/06 確,0,ラミネート,Ｌ2号機,2026/07/10 確,0,スリッター,６号機,2026/07/13 確,0,サイド,１５号機,2026/07/28 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326131-000,2026/05/18,相模サプライ(株),ORD-50319,PE フィルム 300μ 透明,,102400,枚,  0,723948,2026/06/22,2026/07/08,新版,2026/06/17,印刷,1-Ｆ号機,2026/07/02 確,0,サイド,２３号機,2026/07/03 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326132-000,2026/05/18,神戸工業(有),ORD-84607,透明 カップ 300μ 黒,,38800,ｍ,  0,402630,2026/07/08,2026/07/29,旧版,,印刷,1-Ｆ号機,2026/07/23 確,0,スリッター,４号機,2026/07/28 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326133-000,2026/05/18,神戸加工(有),ORD-67560,CPP シート 100μ 黒,,40842,枚,  0,230394,2026/06/23,,無地,,普通製袋,製袋３その他,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326134-000,2026/05/18,神戸工業(有),ORD-71433,CPP シート 100μ 黒,,19400,ｍ,  0,822131,2026/07/08,2026/07/31,旧版,,印刷,1-Ｆ号機,2026/07/22 確,0,スリッター,４号機,2026/07/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326135-000,2026/05/18,神戸加工(有),ORD-49857,EVOH テープ 300μ 青,,23170,枚,  0,833723,2026/07/08,,無地,,普通製袋,製袋３その他,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326136-000,2026/05/18,神戸工業(有),ORD-62757,NY チューブ 100μ クリア,,15520,ｍ,  0,385470,2026/07/10,2026/07/28,旧版,,印刷,1-Ｆ号機,2026/07/24 確,0,スリッター,４号機,2026/07/27 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326137-000,2026/05/18,名古屋テック(株),ORD-75597,AL トレー 100μ 銀,,13488,枚,  0,80776,2026/07/01,2026/07/07,旧版,,印刷,5号機,2026/06/02 完,1940,サイド,２０号機,2026/07/03 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326138-000,2026/05/18,神戸工業(有),ORD-74722,PE フィルム 300μ 透明,,7680,ｍ,  0,559023,2026/07/10,2026/07/28,旧版,,印刷,1-Ｆ号機,2026/07/24 確,0,スリッター,４号機,2026/07/27 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326139-000,2026/05/18,神戸工業(有),ORD-20543,紙 ラベル 300μ クリア,,7760,ｍ,  0,727086,2026/07/14,2026/07/14,旧版,,印刷,1-Ｆ号機,2026/07/06 確,0,スリッター,２号機,2026/07/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326140-000,2026/05/18,神戸工業(有),,EVOH テープ 300μ 青,,11640,ｍ,  0,141797,2026/07/14,2026/07/30,旧版,,印刷,1-Ｆ号機,2026/07/24 確,0,スリッター,４号機,2026/07/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326141-000,2026/05/18,神戸工業(有),,不織布 ロール 100μ 透明,,11640,ｍ,  0,553014,2026/07/16,2026/07/30,旧版,,印刷,1-Ｆ号機,2026/07/22 確,0,スリッター,４号機,2026/07/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326142-000,2026/05/18,神戸工業(有),ORD-52247,不織布 ロール 100μ 透明,,11640,ｍ,  0,733039,2026/07/16,2026/07/31,旧版,,印刷,1-Ｆ号機,2026/07/28 確,0,スリッター,４号機,2026/07/30 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326143-000,2026/05/18,神戸工業(有),ORD-42816,透明 カップ 300μ 黒,,7760,ｍ,  0,127121,2026/07/16,2026/07/30,旧版,,印刷,1-Ｆ号機,2026/07/28 確,0,スリッター,４号機,2026/07/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326144-000,2026/05/18,浜松パッケージ,ORD-21970,OPP 袋 100μ 青,,11520,ｍ,  0,340044,2026/06/23,2026/06/23,旧版,,印刷,5-Ｆ号機,2026/06/16 完,3840,スリッター,２号機,2026/06/18 完,3740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326145-000,2026/05/18,相模商事(株),ORD-98381,PET パウチ 300μ 銀,,67692,枚,  0,1348050,2026/06/02,2026/07/23,旧版,,印刷,1号機,2026/06/10 完,9820,ラミネート,宮内紙工,2026/06/18 完,9640,ラミ２回目,宮内紙工,2026/06/18 完,9640,スリッター,３号機,2026/07/06 確,0,合掌,９号機,2026/07/16 確,0,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326146-000,2026/05/18,相模テック(株),ORD-98117,NY チューブ 100μ クリア,,84000,枚,  0,961322,2026/06/11,2026/07/16,旧版,,印刷,4号機,2026/06/05 完,4500,ラミネート,Ｌ１号,2026/06/09 完,4580,スリッター,４号機,2026/06/10 完,4500,サイド,２９号機,2026/07/10 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326147-000,2026/05/18,神戸デザイン(有),ORD-45325,PE フィルム 300μ 透明,,900,枚,  0,1659,2026/06/02,,無地,,サイド,２１号機,           未,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
0000326148-000,2026/05/18,相模テック(株),ORD-32962,CPP シート 100μ 黒,,26000,枚,  0,593355,2026/06/11,2026/07/31,旧版,,印刷,2-Ｆ号機,2026/06/10 完,4400,スリッター,４号機,2026/06/23 確,0,サイド,５号機,2026/07/29 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326149-000,2026/05/18,新潟加工(有),,EVOH テープ 300μ 青,,15238,枚,  0,644173,2026/07/06,2026/07/06,改版,2026/05/22,印刷,4号機,2026/06/24 確,0,ラミネート,Ｌ2号機,2026/06/25 確,0,スリッター,５号機,2026/06/26 確,0,合掌,８号機,2026/07/02 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326150-000,2026/05/18,熊本クリエイト㈱,ORD-95394,AL トレー 100μ 銀,,7840,ｍ,  0,563711,2026/06/11,2026/07/13,旧版,,印刷,1-Ｆ号機,2026/07/07 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
0000326151-000,2026/05/18,新潟加工(有),,紙 ラベル 300μ クリア,,15339,枚,  0,391668,2026/06/29,2026/07/07,旧版,,印刷,2号機,2026/06/12 完,1940,ラミネート,Ｌ2号機,2026/06/18 完,1830,スリッター,５号機,2026/06/24 確,0,合掌,８号機,2026/07/03 確,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,仕掛,
